experiment,strategy,schema_version,field_dims,embed_dim,dp_training,dp_epsilon_spent,dp_target_epsilon,best_epoch,best_val_loss,test_loss,auc_pr,auc_roc,hr@4,hr@10,safety_violation@4,mean_pred_positive,mean_pred_negative,separation,training_time_s,num_train,num_val,num_test
no_dp_baseline_v6,no_dp_baseline,v6_embeddim8_16fields,"[11, 4, 6, 6, 6, 55, 46, 3, 511, 204, 157, 100, 26, 7, 4, 1680]",8,False,,,20,0.025391425505545996,0.025249464792328282,0.9667584388252106,0.9841809517883916,1.0,1.0,0.0,0.8435376286506653,0.09293101727962494,0.7506065964698792,168.72,58525,13077,13827
dp_finetune_eps1_v6,dp_finetune,v6_embeddim8_16fields,"[11, 4, 6, 6, 6, 55, 46, 3, 511, 204, 157, 100, 26, 7, 4, 1680]",8,True,0.9335389560800932,1.0,2,0.0394762904015969,0.040908412836099244,0.9658068529652405,0.9838110673905186,1.0,1.0,0.0,0.9138599038124084,0.06331843882799149,0.8505414724349976,48.06,58525,13077,13827
dp_finetune_eps05_v6,dp_finetune,v6_embeddim8_16fields,"[11, 4, 6, 6, 6, 55, 46, 3, 511, 204, 157, 100, 26, 7, 4, 1680]",8,True,0.4586458108178656,0.5,2,0.0367204151284743,0.04263366039899215,0.9661581730298838,0.983847673765553,1.0,1.0,0.0,0.9211589694023132,0.07058467715978622,0.8505743145942688,47.57,58525,13077,13827
